😀	grinning
🍉	watermelon
🍇	grapes
🍓	strawberry
🫐	blueberries
🍈	melon
🍑	peach
🍒	cherries
🍍	pineapple
🥭	mango
🥥	coconut
🥝	kiwi_fruit
🍅	tomato
🫒	olive
🍆	eggplant
🥑	avocado
🥦	broccoli
🥬	leafy_green
🥒	cucumber
🌶️	hot_pepper
🫑	bell_pepper
🧄	garlic
🧅	onion
🥔	potato
🍠	sweet_potato
🧊	ice
🌽	corn
🥕	carrot
🥜	peanuts
🍞	bread
🥐	croissant
🥖	baguette_bread
🫓	flatbread
🥨	pretzel
🥯	bagel
🧀	cheese
🍖	meat_on_bone
🍗	poultry_leg
🥩	cut_of_meat
🥚	egg
🍳	fried_egg
🧈	butter
🥞	pancakes
🧇	waffle
🥓	bacon
🌭	hotdog
🍔	hamburger
🍟	fries
🍕	pizza
🌮	taco
🌯	burrito
🥙	stuffed_flatbread
🧆	falafel
🥗	green_salad
🥘	shallow_pan_of_food
🫕	fondue
🥫	canned_food
🍝	spaghetti
🍜	ramen
🍲	stew
🍛	curry
🍣	sushi
🍱	bento
🥟	dumpling
🦪	oyster
🍤	fried_shrimp
🍙	rice_ball
🍚	rice
🍘	rice_cracker
🍥	fish_cake
🥮	moon_cake
🍢	oden
🧁	cupcake
🍡	dango
🍧	shaved_ice
🍨	ice_cream
🍦	icecream
🍰	cake
🎂	birthday
🍮	custard
🍭	lollipop
🍬	candy
🍫	chocolate_bar
🍿	popcorn
🍩	doughnut
🍪	cookie
🍯	honey_pot
🧃	beverage_box
🥤	cup_with_straw
🧋	bubble_tea
🍵	tea
☕	coffee
🫖	teapot
🥛	milk_glass
🍺	beer
🍻	beers
🥂	clink
🍷	wine_glass
🥃	tumbler_glass
🍸	cocktail
🍹	tropical_drink
🧉	mate
🍾	champagne
🍶	sake
🥢	chopsticks
🍽️	plate_with_cutlery
🍴	fork_and_knife
🥄	spoon
❤️	heart
🧡	orange_heart
💛	yellow_heart
💚	green_heart
💙	blue_heart
💜	purple_heart
🖤	black_heart
🤍	white_heart
🤎	brown_heart
💔	broken_heart
❣️	heavy_heart_exclamation
💕	two_hearts
💞	revolving_hearts
💓	heartbeat
💗	heartpulse
💖	sparkling_heart
💘	cupid
💝	gift_heart
💟	heart_decoration
❤️‍🔥	heart_on_fire
❤️‍🩹	mending_heart
☮️	peace_symbol
✝️	latin_cross
☪️	star_and_crescent
🕉️	om
✡️	star_of_david
🔯	six_pointed_star
☯️	yin_yang
☸️	dharma_wheel
✴️	eight_pointed_black_star
🆔	id
⚛️	atom_symbol
🔱	trident
🔰	beginner
⭕	o
✅	white_check_mark
☑️	ballot_box_with_check
✔️	heavy_check_mark
❌	x
❎	negative_squared_cross_mark
➕	heavy_plus_sign
➖	heavy_minus_sign
➗	heavy_division_sign
✖️	heavy_multiplication_x
💠	diamond_shape_with_a_dot_inside
🔘	radio_button
🔲	black_square_button
🔳	white_square_button
⬛	black_large_square
⬜	white_large_square
◼️	black_medium_square
◻️	white_medium_square
▪️	black_small_square
▫️	white_small_square
🔷	large_blue_diamond
🔶	large_orange_diamond
🔹	small_blue_diamond
🔸	small_orange_diamond
🔺	small_red_triangle
🔻	small_red_triangle_down
🔃	arrows_clockwise
🔄	arrows_counterclockwise
🔙	back
🔛	on
🔝	top
🔚	end
🔜	soon
🔀	twisted_rightwards_arrows
🔁	repeat
🔂	repeat_one
▶️	arrow_forward
⏩	fast_forward
⏭️	next_track_button
⏯️	play_or_pause_button
◀️	arrow_backward
⏪	rewind
⏮️	previous_track_button
🔼	arrow_up_small
⏫	arrow_double_up
🔽	arrow_down_small
⏬	arrow_double_down
⏸️	pause_button
⏹️	stop_button
⏺️	record_button
🎦	cinema
🔅	low_brightness
🔆	high_brightness
📶	signal_strength
📳	vibration_mode
📴	mobile_phone_off
♀️	female_sign
♂️	male_sign
⚕️	medical_symbol
♾️	infinity
♻️	recycle
💯	100
💢	anger
⚠️	warning
🚸	children_crossing
⛔	no_entry
🚫	no_entry_sign
🚳	no_bicycles
🚭	no_smoking
🚯	do_not_litter
🚱	non-potable_water
🚷	no_pedestrians
📵	no_mobile_phones
🔞	underage
☢️	radioactive
☣️	biohazard
⬆️	arrow_up
↗️	arrow_upper_right
➡️	arrow_right
↘️	arrow_lower_right
⬇️	arrow_down
↙️	arrow_lower_left
⬅️	arrow_left
↖️	arrow_upper_left
↕️	arrow_up_down
↔️	left_right_arrow
↩️	leftwards_arrow_with_hook
↪️	arrow_right_hook
⤴️	arrow_heading_up
⤵️	arrow_heading_down
🔄	arrows_counterclockwise
🔃	arrows_clockwise
⏏️	eject_symbol
🔛	on
🔝	top
🔙	back
🔚	end
🔜	soon
🆗	ok
🆙	up
🆒	cool
🆕	new
🆓	free
🆖	ng
🆘	sos
🅰️	a
🅱️	b
🆎	ab
🆑	cl
🅾️	o2
🆚	vs
🈶	u6709
🉐	ideograph_advantage
㊙️	secret
㊗️	congratulations
🈴	u5408
🈵	u6e80
0️⃣	zero
1️⃣	one
2️⃣	two
3️⃣	three
4️⃣	four
5️⃣	five
6️⃣	six
7️⃣	seven
8️⃣	eight
9️⃣	nine
🔟	keycap_ten
#️⃣	hash
*️⃣	asterisk
🔣	symbols
🔤	abc
🔡	abcd
🔠	capital_abcd
